Title,URL,ParentTitle
PMO,https://mdho365.sharepoint.com/teams/oea/PMO/,	
Architecture,https://mdho365.sharepoint.com/teams/oea/OEA/,	
BHASO,https://mdho365.sharepoint.com/teams/oea/BHASO/,	
DASO,https://mdho365.sharepoint.com/teams/oea/dental/,	
CMS,https://mdho365.sharepoint.com/teams/oea/CMSRule/,	
CRM-Archive,https://mdho365.sharepoint.com/teams/oea/CRM/,	
DSS/DW,https://mdho365.sharepoint.com/teams/oea/DSS-DW/,	
E&E 1,https://mdho365.sharepoint.com/teams/oea/ee1/,	
E&E 2,https://mdho365.sharepoint.com/teams/oea/ee2/,	
Data,https://mdho365.sharepoint.com/teams/oea/DataMgmt/,	
LTSS,https://mdho365.sharepoint.com/teams/oea/LTSS/,	
PharmPOS,https://mdho365.sharepoint.com/teams/oea/PharmPOS/,	
Provider,https://mdho365.sharepoint.com/teams/oea/PMM/,	
Sandbox,https://mdho365.sharepoint.com/teams/oea/test2/,	
Testing,https://mdho365.sharepoint.com/teams/oea/Testing/,	
Training,https://mdho365.sharepoint.com/teams/oea/TRNMGT/,	
UCA,https://mdho365.sharepoint.com/teams/oea/UCA/,
BPD,https://mdho365.sharepoint.com/teams/oea/BPD/,	
IV&V,https://mdho365.sharepoint.com/teams/oea/IVV/,	
BA,https://mdho365.sharepoint.com/teams/oea/mmt-ba/,	
OCM,https://mdho365.sharepoint.com/teams/oea/mmt-ocm-site,	
EDMS,https://mdho365.sharepoint.com/teams/oea/edms/,	
MMIS-Archive,https://mdho365.sharepoint.com/teams/oea/mmis/,	
Contracts,https://mdho365.sharepoint.com/teams/oea/contracts/,	
SURS,https://mdho365.sharepoint.com/teams/oea/surs/,	
NEMT,https://mdho365.sharepoint.com/teams/oea/nemt/,	
BHASO 2.0,https://mdho365.sharepoint.com/teams/oea/bhaso-2/,	
NASPO,https://mdho365.sharepoint.com/teams/oea/NASPO/,
EDI/TPS,https://mdho365.sharepoint.com/teams/oea/editps/,	
EIS MULESOFT,https://mdho365.sharepoint.com/teams/oea/eismulesoft/,	
BPR-LTSS,https://mdho365.sharepoint.com/teams/oea/bpr-ltss/,	
MMT Vision & Strategy,https://mdho365.sharepoint.com/teams/oea/visionandstrategy/,	
BPR-RFS,https://mdho365.sharepoint.com/teams/oea/bpr-rfs/,	
ELRMS,https://mdho365.sharepoint.com/teams/oea/PMO/elrms/,	
VoIP,https://mdho365.sharepoint.com/teams/oea/PMO/voip/,	
Data Center & Cloud Migration,https://mdho365.sharepoint.com/teams/oea/PMO/dccm,	
BRRS,https://mdho365.sharepoint.com/teams/oea/PMO/brrs/,	
KDP,https://mdho365.sharepoint.com/teams/oea/PMO/kdp,	
CMS,https://mdho365.sharepoint.com/teams/oea/PMO/cms/,	
BCCDT,https://mdho365.sharepoint.com/teams/oea/PMO/bccdt,	
OPER,https://mdho365.sharepoint.com/teams/oea/PMO/OPER,	
MADAP,https://mdho365.sharepoint.com/teams/oea/PMO/madap/,	
EHR,https://mdho365.sharepoint.com/sites/EHRProgram,	
Reportable Incidents,https://mdho365.sharepoint.com/teams/oea/incidents/,	
EGM,https://mdho365.sharepoint.com/sites/EGM,	
DDA Waiver Consolidation,https://mdho365.sharepoint.com/sites/DDAWC,	
BPR-RFS-New,https://mdho365.sharepoint.com/sites/bpr-rfs,	
MMIS,https://mdho365.sharepoint.com/sites/mmis,	
OCEP,https://mdho365.sharepoint.com/sites/OCEP/,	
BHAPL,https://mdho365.sharepoint.com/sites/BHAPL,
BPR-OES,https://mdho365.sharepoint.com/sites/BPR-OES,	
BPR-GRV,https://mdho365.sharepoint.com/sites/BPR-GRV,